,Name,Score,Score_Rank,Popularity_Rank,Members,Favorites,Studio,episodes,Genres,Theme(s),Demographic,rating,duration,platform,aired_time,overview,related_animes,caracter_name,hero,sup_heros,supporters,Adaptation,Prequel,Alternative_version,Side_story,Sequel
0,Shingeki no Kyojin: The Final Season - Kanketsu-hen,9.11,1,540,382365,7691,MAPPA,2,"Action, Drama, Suspense","Gore, Military, Survival",Shounen,R - 17+ (violence & profanity),1 hr. 1 min. ,Special,Mar 4/2023 to 2023,The conclusion to Shingeki no Kyojin.,"{'Adaptation': 'Shingeki no Kyojin', 'Prequel': 'Shingeki no Kyojin__The Final Season Part 2'}","{'Eren Yeager': 'Main', 'Mikasa Ackerman': 'Main', 'Armin Arlert': 'Main', 'Erwin Smith': 'Supporting', 'Hange Zoë': 'Supporting', 'Gabi Braun': 'Supporting', 'Reiner Braun': 'Supporting', 'Jean Kirstein': 'Supporting', 'Annie Leonhart': 'Supporting'}",Eren Yeager,"['Mikasa Ackerman', 'Armin Arlert']","['Erwin Smith', 'Hange Zoë', 'Gabi Braun', 'Reiner Braun', 'Jean Kirstein', 'Annie Leonhart']",Shingeki no Kyojin,Shingeki no Kyojin__The Final Season Part 2,,,
1,Fullmetal Alchemist: Brotherhood,9.11,2,3,3126427,215118,Bones,64,"Action, Adventure, Drama, Fantasy",Military,Shounen,R - 17+ (violence & profanity),24 min. ,TV,Apr 5/2009 to Jul 4/2010,"After a horrific alchemy experiment goes wrong in the Elric household, brothers Edward and Alphonse are left in a catastrophic new reality. Ignoring the alchemical principle banning human transmutation, the boys attempted to bring their recently deceased mother back to life. Instead, they suffered brutal personal loss: Alphonse body disintegrated while Edward lost a leg and then sacrificed an arm to keep Alphonse soul in the physical realm by binding it to a hulking suit of armor.The brothers are rescued by their neighbor Pinako Rockbell and her granddaughter Winry. Known as a bio-mechanical engineering prodigy, Winry creates prosthetic limbs for Edward by utilizing ""automail,"" a tough, versatile metal used in robots and combat armor. After years of training, the Elric brothers set off on a quest to restore their bodies by locating the Philosopher Stone—a powerful gem that allows an alchemist to defy the traditional laws of Equivalent Exchange.As Edward becomes an infamous alchemist and gains the nickname ""Fullmetal,"" the boys' journey embroils them in a growing conspiracy that threatens the fate of the world.","{'Adaptation': 'Fullmetal Alchemist', 'Alternative version': 'Fullmetal Alchemist', 'Side story': 'Fullmetal Alchemist__Brotherhood Specials', 'Spin-off': 'Fullmetal Alchemist__Brotherhood - 4-Koma Theater'}","{'Edward Elric': 'Main', 'Alphonse Elric': 'Main', 'Roy Mustang': 'Supporting', 'Maes Hughes': 'Supporting', 'Riza Hawkeye': 'Supporting', 'Ling Yao': 'Supporting', 'Alex Louis Armstrong': 'Supporting', 'Winry Rockbell': 'Supporting', 'Olivier Mira Armstrong': 'Supporting'}",Edward Elric,['Alphonse Elric'],"['Roy Mustang', 'Maes Hughes', 'Riza Hawkeye', 'Ling Yao', 'Alex Louis Armstrong', 'Winry Rockbell', 'Olivier Mira Armstrong']",Fullmetal Alchemist,,Fullmetal Alchemist,Fullmetal Alchemist__Brotherhood Specials,
2,Bleach: Sennen Kessen-hen,9.08,3,495,415763,16764,Pierrot,13,"Action, Adventure, Fantasy",Military,Shounen,R - 17+ (violence & profanity),24 min. ,TV,Oct 11/2022 to Dec 27/2022,"Substitute Soul Reaper Ichigo Kurosaki spends his days fighting against Hollows, dangerous evil spirits that threaten Karakura Town. Ichigo carries out his quest with his closest allies: Orihime Inoue, his childhood friend with a talent for healing; Yasutora Sado, his high school classmate with superhuman strength; and Uryuu Ishida, Ichigo Quincy rival.Ichigo vigilante routine is disrupted by the sudden appearance of Asguiaro Ebern, a dangerous Arrancar who heralds the return of Yhwach, an ancient Quincy king. Yhwach seeks to reignite the historic blood feud between Soul Reaper and Quincy, and he sets his sights on erasing both the human world and the Soul Society for good.Yhwach launches a two-pronged invasion into both the Soul Society and Hueco Mundo, the home of Hollows and Arrancar. In retaliation, Ichigo and his friends must fight alongside old allies and enemies alike to end Yhwach campaign of carnage before the world itself comes to an end.","{'Adaptation': 'Bleach', 'Prequel': 'Bleach', 'Sequel': 'Bleach__Sennen Kessen-hen - Ketsubetsu-tan'}","{'Ichigo Kurosaki': 'Main', 'Rukia Kuchiki': 'Main', 'Orihime Inoue': 'Main', 'Renji Abarai': 'Main', 'Uryuu Ishida': 'Main', 'Yasutora Sado': 'Main', 'Kenpachi Zaraki': 'Supporting', 'Kisuke Urahara': 'Supporting', 'Sousuke Aizen': 'Supporting', 'Toushirou Hitsugaya': 'Supporting'}",Ichigo Kurosaki,"['Rukia Kuchiki', 'Orihime Inoue', 'Renji Abarai', 'Uryuu Ishida', 'Yasutora Sado']","['Kenpachi Zaraki', 'Kisuke Urahara', 'Sousuke Aizen', 'Toushirou Hitsugaya']",Bleach,Bleach,,,Bleach__Sennen Kessen-hen - Ketsubetsu-tan
3,Steins;Gate,9.08,4,13,2405975,180957,White Fox,24,"Drama, Sci-Fi, Suspense","Psychological, Time Travel",Shounen,PG-13 - Teens 13 or older,24 min. ,TV,Apr 6/2011 to Sep 14/2011,"Eccentric scientist Rintarou Okabe has a never-ending thirst for scientific exploration. Together with his ditzy but well-meaning friend Mayuri Shiina and his roommate Itaru Hashida, Rintarou founds the Future Gadget Laboratory in the hopes of creating technological innovations that baffle the human psyche. Despite claims of grandeur, the only notable ""gadget"" the trio have created is a microwave that has the mystifying power to turn bananas into green goo.However, when Rintarou decides to attend neuroscientist Kurisu Makise conference on time travel, he experiences a series of strange events that lead him to believe that there is more to the ""Phone Microwave"" gadget than meets the eye. Apparently able to send text messages into the past using the microwave, Rintarou dabbles further with the ""time machine,"" attracting the ire and attention of the mysterious organization SERN.Due to the novel discovery, Rintarou and his friends find themselves in an ever-present danger. As he works to mitigate the damage his invention has caused to the timeline, he is not only fighting a battle to save his loved ones, but also one against his degrading sanity.","{'Adaptation': 'Steins;Gate', 'Alternative setting': 'ChäoS;HEAd', 'Sequel': 'Steins;Gate__Oukoubakko no Poriomania', 'Other': 'Steins;Gate__Soumei Eichi no Cognitive Computing', 'Alternative version': 'Steins;Gate__Kyoukaimenjou no Missing Link - Divide By Zero'}","{'Rintarou Okabe': 'Main', 'Kurisu Makise': 'Main', 'Mayuri Shiina': 'Main', 'Itaru Hashida': 'Main', 'Suzuha Amane': 'Supporting', 'Ruka Urushibara': 'Supporting', 'Rumiho Akiha': 'Supporting', 'Moeka Kiryuu': 'Supporting', 'Yuugo Tennouji': 'Supporting', 'Nae Tennouji': 'Supporting'}",Rintarou Okabe,"['Kurisu Makise', 'Mayuri Shiina', 'Itaru Hashida']","['Suzuha Amane', 'Ruka Urushibara', 'Rumiho Akiha', 'Moeka Kiryuu', 'Yuugo Tennouji', 'Nae Tennouji']",Steins;Gate,,Steins;Gate__Kyoukaimenjou no Missing Link - Divide By Zero,,Steins;Gate__Oukoubakko no Poriomania
4,Gintama°,9.07,5,334,585428,15684,Bandai Namco Pictures,51,"Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai",Shounen,PG-13 - Teens 13 or older,24 min. ,TV,Apr 8/2015 to Mar 30/2016,"Gintoki, Shinpachi, and Kagura return as the fun-loving but broke members of the Yorozuya team! Living in an alternate-reality Edo, where swords are prohibited and alien overlords have conquered Japan, they try to thrive on doing whatever work they can get their hands on. However, Shinpachi and Kagura still haven't been paid... Does Gin-chan really spend all that cash playing pachinko?Meanwhile, when Gintoki drunkenly staggers home one night, an alien spaceship crashes nearby. A fatally injured crew member emerges from the ship and gives Gintoki a strange, clock-shaped device, warning him that it is incredibly powerful and must be safeguarded. Mistaking it for his alarm clock, Gintoki proceeds to smash the device the next morning and suddenly discovers that the world outside his apartment has come to a standstill. With Kagura and Shinpachi at his side, he sets off to get the device fixed; though, as usual, nothing is ever that simple for the Yorozuya team.Filled with tongue-in-cheek humor and moments of heartfelt emotion, Gintama fourth season finds Gintoki and his friends facing both their most hilarious misadventures and most dangerous crises yet.","{'Adaptation': 'Gintama', 'Prequel': 'Gintama Movie 2__Kanketsu-hen - Yorozuya yo Eien Nare', 'Side story': 'Gintama°__Umai-mono wa Atomawashi ni Suru to Yokodorisareru kara Yappari Saki ni Kue', 'Sequel': 'Gintama.'}","{'Gintoki Sakata': 'Main', 'Shinpachi Shimura': 'Main', 'Kotarou Katsura': 'Main', 'Toushirou Hijikata': 'Supporting', 'Sougo Okita': 'Supporting', 'Shinsuke Takasugi': 'Supporting', 'Taizou Hasegawa': 'Supporting'}",Gintoki Sakata,"['Shinpachi Shimura', 'Kotarou Katsura']","['Toushirou Hijikata', 'Sougo Okita', 'Shinsuke Takasugi', 'Taizou Hasegawa']",Gintama,Gintama Movie 2__Kanketsu-hen - Yorozuya yo Eien Nare,,Gintama°__Umai-mono wa Atomawashi ni Suru to Yokodorisareru kara Yappari Saki ni Kue,Gintama.
5,Kaguya-sama wa Kokurasetai: Ultra Romantic,9.06,6,211,786051,28043,A-1 Pictures,13,"Comedy, Romance",School,Seinen,PG-13 - Teens 13 or older,23 min. ,TV,Apr 9/2022 to Jun 25/2022,"The elite members of Shuchiin Academy student council continue their competitive day-to-day antics. Council president Miyuki Shirogane clashes daily against vice-president Kaguya Shinomiya, each fighting tooth and nail to trick the other into confessing their romantic love. Kaguya struggles within the strict confines of her wealthy, uptight family, rebelling against her cold default demeanor as she warms to Shirogane and the rest of her friends.Meanwhile, council treasurer Yuu Ishigami suffers under the weight of his hopeless crush on Tsubame Koyasu, a popular upperclassman who helps to instill a new confidence in him. Miko Iino, the newest student council member, grows closer to the rule-breaking Ishigami while striving to overcome her own authoritarian moral code.As love further blooms at Shuchiin Academy, the student council officers drag their outsider friends into increasingly comedic conflicts.","{'Adaptation': 'Kaguya-sama wa Kokurasetai__Tensai-tachi no Renai Zunousen', 'Prequel': 'Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen', 'Side story': 'Kaguya-sama wa Kokurasetai__Ultra Romantic Teaser PV - Ishigami Yuu wa Kataritai', 'Sequel': 'Kaguya-sama wa Kokurasetai__First Kiss wa Owaranai'}","{'Kaguya Shinomiya': 'Main', 'Yuu Ishigami': 'Main', 'Chika Fujiwara': 'Main', 'Miyuki Shirogane': 'Main', 'Miko Iino': 'Main', 'Ai Hayasaka': 'Supporting', 'Kei Shirogane': 'Supporting', 'Father Shirogane': 'Supporting', 'Maki Shijou': 'Supporting'}",Kaguya Shinomiya,"['Yuu Ishigami', 'Chika Fujiwara', 'Miyuki Shirogane', 'Miko Iino']","['Ai Hayasaka', 'Kei Shirogane', 'Father Shirogane', 'Maki Shijou']",Kaguya-sama wa Kokurasetai__Tensai-tachi no Renai Zunousen,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,,Kaguya-sama wa Kokurasetai__Ultra Romantic Teaser PV - Ishigami Yuu wa Kataritai,Kaguya-sama wa Kokurasetai__First Kiss wa Owaranai
6,Shingeki no Kyojin Season 3 Part 2,9.06,7,25,2062868,54665,Wit Studio,10,"Action, Drama","Gore, Military, Survival",Shounen,R - 17+ (violence & profanity),23 min. ,TV,Apr 29/2019 to Jul 1/2019,"Seeking to restore humanity diminishing hope, the Survey Corps embark on a mission to retake Wall Maria, where the battle against the merciless ""Titans"" takes the stage once again.Returning to the tattered Shiganshina District that was once his home, Eren Yeager and the Corps find the town oddly unoccupied by Titans. Even after the outer gate is plugged, they strangely encounter no opposition. The mission progresses smoothly until Armin Arlert, highly suspicious of the enemy absence, discovers distressing signs of a potential scheme against them.Shingeki no Kyojin Season 3 Part 2 follows Eren as he vows to take back everything that was once his. Alongside him, the Survey Corps strive—through countless sacrifices—to carve a path towards victory and uncover the secrets locked away in the Yeager family basement.","{'Adaptation': 'Shingeki no Kyojin', 'Prequel': 'Shingeki no Kyojin Season 3', 'Sequel': 'Shingeki no Kyojin__The Final Season', 'Summary': 'Shingeki no Kyojin__Chronicle'}","{'Eren Yeager': 'Main', 'Mikasa Ackerman': 'Main', 'Armin Arlert': 'Main', 'Erwin Smith': 'Main', 'Hange Zoë': 'Supporting', 'Sasha Blouse': 'Supporting', 'Reiner Braun': 'Supporting', 'Jean Kirstein': 'Supporting', 'Annie Leonhart': 'Supporting'}",Eren Yeager,"['Mikasa Ackerman', 'Armin Arlert', 'Erwin Smith']","['Hange Zoë', 'Sasha Blouse', 'Reiner Braun', 'Jean Kirstein', 'Annie Leonhart']",Shingeki no Kyojin,Shingeki no Kyojin Season 3,,,Shingeki no Kyojin__The Final Season
7,Gintama: The Final,9.05,8,1580,128327,3999,Bandai Namco Pictures,1,"Action, Comedy, Drama, Sci-Fi","Gag Humor, Historical, Parody, Samurai",Shounen,PG-13 - Teens 13 or older,1 hr. 44 min.,Movie,Jan 8/2021,"Two years have passed following the Tendoshuu invasion of the O-Edo Central Terminal. Since then, the Yorozuya have gone their separate ways. Foreseeing Utsuro return, Gintoki Sakata begins surveying Earth ley lines for traces of the other man Altana. After an encounter with the remnants of the Tendoshuu—who continue to press on in search of immortality—Gintoki returns to Edo.Later, the regrouped Shinsengumi and Yorozuya begin an attack on the occupied Central Terminal. With the Altana harvested by the wreckage of the Tendoshuu ship in danger of detonating, the Yorozuya and their allies fight their enemies while the safety of Edo—and the rest of the world—hangs in the balance. Fulfilling the wishes of their teacher, Shouyou Yoshida former students unite and relive their pasts one final time in an attempt to save their futures.","{'Adaptation': 'Gintama', 'Prequel': 'Gintama.__Shirogane no Tamashii-hen - Kouhan-sen', 'Other': 'Gintama__The Semi-Final'}","{'Gintoki Sakata': 'Main', 'Shinpachi Shimura': 'Main', 'Kotarou Katsura': 'Main', 'Toushirou Hijikata': 'Supporting', 'Sougo Okita': 'Supporting', 'Shinsuke Takasugi': 'Supporting', 'Taizou Hasegawa': 'Supporting'}",Gintoki Sakata,"['Shinpachi Shimura', 'Kotarou Katsura']","['Toushirou Hijikata', 'Sougo Okita', 'Shinsuke Takasugi', 'Taizou Hasegawa']",Gintama,Gintama.__Shirogane no Tamashii-hen - Kouhan-sen,,,
8,Gintama',9.04,9,387,516722,7651,Sunrise,51,"Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai",Shounen,PG-13 - Teens 13 or older,24 min. ,TV,Apr 4/2011 to Mar 26/2012,"After a one-year hiatus, Shinpachi Shimura returns to Edo, only to stumble upon a shocking surprise: Gintoki and Kagura, his fellow Yorozuya members, have become completely different characters! Fleeing from the Yorozuya headquarters in confusion, Shinpachi finds that all the denizens of Edo have undergone impossibly extreme changes, in both appearance and personality. Most unbelievably, his sister Otae has married the Shinsengumi chief and shameless stalker Isao Kondou and is pregnant with their first child.Bewildered, Shinpachi agrees to join the Shinsengumi at Otae and Kondou request and finds even more startling transformations afoot both in and out of the ranks of the the organization. However, discovering that Vice Chief Toushirou Hijikata has remained unchanged, Shinpachi and his unlikely Shinsengumi ally set out to return the city of Edo to how they remember it.With even more dirty jokes, tongue-in-cheek parodies, and shameless references, Gintama' follows the Yorozuya team through more of their misadventures in the vibrant, alien-filled world of Edo.","{'Adaptation': 'Gintama', 'Prequel': 'Gintama', 'Character': 'SKET Dance', 'Sequel': ""Gintama'__Enchousen"", 'Alternative version': 'Gintama__Yorinuki Gintama-san on Theater 2D'}","{'Gintoki Sakata': 'Main', 'Shinpachi Shimura': 'Main', 'Kotarou Katsura': 'Main', 'Toushirou Hijikata': 'Supporting', 'Sougo Okita': 'Supporting', 'Shinsuke Takasugi': 'Supporting', 'Taizou Hasegawa': 'Supporting'}",Gintoki Sakata,"['Shinpachi Shimura', 'Kotarou Katsura']","['Toushirou Hijikata', 'Sougo Okita', 'Shinsuke Takasugi', 'Taizou Hasegawa']",Gintama,Gintama,Gintama__Yorinuki Gintama-san on Theater 2D,,Gintama'__Enchousen
9,Hunter x Hunter (2011),9.04,10,10,2614268,197605,Madhouse,148,"Action, Adventure, Fantasy","Gag Humor, Historical, Parody, Samurai",Shounen,PG-13 - Teens 13 or older,23 min. ,TV,Oct 2/2011 to Sep 24/2014,"Hunters devote themselves to accomplishing hazardous tasks, all from traversing the world uncharted territories to locating rare items and monsters. Before becoming a Hunter, one must pass the Hunter Examination—a high-risk selection process in which most applicants end up handicapped or worse, deceased.Ambitious participants who challenge the notorious exam carry their own reason. What drives 12-year-old Gon Freecss is finding Ging, his father and a Hunter himself. Believing that he will meet his father by becoming a Hunter, Gon takes the first step to walk the same path.During the Hunter Examination, Gon befriends the medical student Leorio Paladiknight, the vindictive Kurapika, and ex-assassin Killua Zoldyck. While their motives vastly differ from each other, they band together for a common goal and begin to venture into a perilous world.","{'Adaptation': 'Hunter x Hunter', 'Alternative version': 'Hunter x Hunter', 'Side story': 'Hunter x Hunter Movie 1__Phantom Rouge'}","{'Killua Zoldyck': 'Main', 'Gon Freecss': 'Main', 'Leorio Paladiknight': 'Main', 'Hisoka Morow': 'Main', 'Chrollo Lucilfer': 'Supporting', 'Isaac Netero': 'Supporting', 'Feitan Portor': 'Supporting'}",Killua Zoldyck,"['Gon Freecss', 'Leorio Paladiknight', 'Hisoka Morow']","['Chrollo Lucilfer', 'Isaac Netero', 'Feitan Portor']",Hunter x Hunter,,Hunter x Hunter,Hunter x Hunter Movie 1__Phantom Rouge,
